Semester,Spring 2020,Summer 2020,Fall 2020,Spring 2021,Summer 2021,Fall 2021,Spring 2022,Summer 2022,Fall 2022,Spring 2023,Summer 2023,Fall 2023,Spring 2024,Summer 2024,Fall 2024,Spring 2025,Summer 2025,Fall 2025
ILL Borrowing Loans,195,82,103,178,97,143,191,103,141,182,86,236,280,138,229,319,149,526
ILL Borrowing Loans Fill Rate,37.00%,43.00%,68.00%,69.00%,72.00%,76.00%,63.00%,80.00%,71.00%,73.00%,70.00%,69.00%,78.00%,72.00%,80.00%,73.00%,74.00%,70.00%
ILL Borrowing Articles,534,304,641,381,260,417,268,159,230,306,180,326,423,189,338,427,252,163
ILL Borrowing Articles Fill Rate,79.00%,83.00%,50.00%,90.00%,88.00%,92.00%,87.00%,86.00%,85.00%,79.00%,78.00%,74.00%,75.00%,76.00%,85.00%,83.00%,65.00%,82.00%
ILL Lending Loans,"1,525",8,"1,000","1,295",1162,"1,077",1303,452,771,484,643,996,1215,774,991,1152,788,1175
ILL Lending Loans Fill Rate,66.00%,0.00%,60.00%,61.00%,69.00%,62.00%,51.00%,64.00%,43.00%,66.00%,86.00%,78.00%,74.00%,77.00%,69.00%,73.00%,65.00%,83.00%
ILL Lending Articles,"1,761",585,"1,405","2,147",1509,"1,550",1604,629,857,667,772,1080,1093,596,986,1304,676,756
ILL Lending Articles Fill Rate,92.00%,15.00%,33.00%,48.00%,49.00%,41.00%,35.00%,28.00%,23.00%,32.00%,40.00%,37.00%,34.00%,34.00%,35.00%,32.00%,22.00%,48.00%
Summit  Borrowing Requests,"1,729",71,"1,241","1,441",618,"1,305","1,613",806,"1,753","2,191",773,"2,002","2,136",656,"1,853","1,917",918,
Summit  Borrowing Fill Rate,2.00%,0.00%,3.00%,61.00%,81.00%,86.00%,84.00%,90.00%,95.00%,95.00%,97.00%,96.00%,95.00%,96.00%,95.00%,96.00%,90.00%,
Summit Lending Requests,929,41,296,687,418,900,"1,151",545,"1,073","1,584",596,"1,873","1,676",659,"1,470","1,567","1,120",
Summit Lending Fill Rate,95.00%,90.00%,86.00%,95.00%,94.00%,92.00%,96.00%,94.00%,84.00%,95.00%,95.00%,62.00%,92.00%,91.00%,88.00%,93.00%,64.00%,